iter	Passed	Remaining
402	11693	17322
403	11725	17297
404	11758	17275
405	11790	17250
406	11817	17218
407	11837	17176
408	11872	17154
409	11905	17131
410	11939	17110
411	11969	17082
412	12004	17061
413	12037	17038
414	12069	17013
415	12102	16990
416	12134	16965
417	12164	16936
418	12198	16915
419	12230	16889
420	12264	16866
421	12288	16831
422	12322	16809
423	12353	16782
424	12387	16759
425	12418	16732
426	12444	16699
427	12475	16672
428	12511	16652
429	12543	16626
430	12578	16606
431	12609	16578
432	12643	16556
433	12673	16528
434	12708	16506
435	12740	16481
436	12776	16460
437	12807	16433
438	12842	16411
439	12876	16387
440	12910	16364
441	12942	16339
442	12977	16317
443	13008	16290
444	13045	16270
445	13088	16258
446	13125	16237
447	13156	16211
448	13184	16179
449	13214	16151
450	13248	16126
451	13278	16099
452	13312	16074
453	13343	16047
454	13377	16023
455	13408	15996
456	13442	15972
457	13473	15944
458	13509	15922
459	13538	15893
460	13572	15869
461	13604	15842
462	13638	15818
463	13670	15792
464	13705	15768
465	13735	15740
466	13768	15713
467	13800	15687
468	13832	15661
469	13863	15633
470	13897	15608
471	13928	15581
472	13962	15557
473	13993	15528
474	14028	15504
475	14066	15485
476	14102	15462
477	14134	15435
478	14168	15410
479	14198	15381
480	14229	15353
481	14259	15324
482	14293	15299
483	14323	15270
484	14356	15244
485	14387	15216
486	14420	15190
487	14453	15164
488	14488	15140
489	14519	15111
490	14554	15087
491	14584	15059
492	14619	15035
493	14649	15005
494	14682	14979
495	14715	14953
496	14750	14928
497	14780	14898
498	14813	14872
499	14842	14842
500	14876	14816
501	14907	14788
502	14940	14761
503	14972	14734
504	15005	14708
505	15045	14688
506	15079	14663
507	15114	14638
508	15153	14617
509	15183	14587
510	15217	14562
511	15248	14533
512	15283	14508
513	15312	14478
514	15345	14452
515	15373	14420
516	15408	14395
517	15439	14366
518	15473	14340
519	15505	14312
520	15540	14287
521	15569	14257
522	15604	14231
523	15634	14202
524	15667	14175
525	15699	14147
526	15732	14120
527	15763	14091
528	15797	14065
529	15826	14035
530	15860	14008
531	15889	13978
532	15923	13951
533	15955	13923
534	15988	13896
535	16019	13867
536	16063	13850
537	16099	13824
538	16134	13799
539	16163	13768
540	16196	13741
541	16227	13712
542	16260	13685
543	16291	13656
544	16324	13628
545	16354	13598
546	16387	13571
547	16419	13542
548	16453	13516
549	16486	13488
550	16520	13462
551	16550	13432
552	16584	13405
553	16613	13374
554	16647	13348
555	16677	13318
556	16712	13292
557	16743	13262
558	16777	13235
559	16808	13207
560	16842	13179
561	16872	13149
562	16903	13120
563	16934	13091
564	16966	13062
565	16996	13033
566	17040	13013
567	17070	12983
568	17105	12956
569	17134	12926
570	17168	12898
571	17198	12868
572	17232	12841
573	17263	12812
574	17296	12784
575	17326	12754
576	17359	12726
577	17388	12695
578	17421	12667
579	17450	12636
580	17483	12608
581	17511	12577
582	17545	12549
583	17577	12520
584	17610	12493
585	17643	12465
586	17678	12438
587	17709	12408
588	17743	12381
589	17773	12351
590	17808	12324
591	17839	12294
592	17874	12267
593	17903	12237
594	17936	12208
595	17965	12177
596	17998	12149
597	18031	12121
598	18073	12099
599	18103	12069
600	18137	12041
601	18164	12009
602	18198	11981
603	18227	11950
604	18260	11922
605	18292	11892
606	18324	11864
607	18355	11834
608	18390	11807
609	18422	11778
610	18456	11750
611	18486	11720
612	18522	11693
613	18551	11662
614	18584	11634
615	18614	11603
616	18648	11576
617	18679	11546
618	18712	11517
619	18745	11489
620	18778	11460
621	18809	11430
622	18844	11403
623	18874	11373
624	18908	11344
625	18940	11315
626	18973	11287
627	19005	11257
628	19049	11235
629	19088	11210
630	19124	11183
631	19155	11153
632	19189	11125
633	19220	11096
634	19254	11067
635	19284	11036
636	19318	11008
637	19348	10978
638	19384	10950
639	19414	10920
640	19448	10892
641	19479	10862
642	19513	10834
643	19543	10803
644	19578	10775
645	19609	10745
646	19643	10717
647	19675	10687
648	19709	10659
649	19741	10629
650	19775	10601
651	19807	10572
652	19831	10538
653	19863	10508
654	19893	10478
655	19926	10449
656	19959	10420
657	19994	10392
658	20027	10363
659	20066	10337
660	20097	10307
661	20136	10281
662	20165	10249
663	20198	10220
664	20228	10190
665	20262	10161
666	20291	10130
667	20326	10102
668	20357	10072
669	20390	10043
670	20423	10013
671	20456	9984
672	20486	9954
673	20520	9925
674	20549	9894
675	20583	9865
676	20614	9835
677	20649	9806
678	20679	9776
679	20712	9746
680	20743	9716
681	20777	9687
682	20806	9656
683	20841	9628
684	20873	9598
685	20907	9569
686	20940	9540
687	20975	9512
688	21015	9486
689	21058	9461
690	21096	9433
691	21129	9404
692	21159	9373
693	21192	9344
694	21223	9313
695	21259	9285
696	21290	9255
697	21326	9227
698	21357	9196
699	21396	9169
700	21432	9141
